source,target,editDistance
hVSMC-0176,hVSMC-0238,7
hVSMC-0176,hVSMC-0204,2
hVSMC-0176,hVSMC-0203,4
hVSMC-0176,hVSMC-0202,6
hVSMC-0176,hVSMC-0201,8
hVSMC-0176,hVSMC-0199,8
hVSMC-0176,hVSMC-0191,8
hVSMC-0176,hVSMC-0182,2
hVSMC-0163,hVSMC-1995,13
hVSMC-0163,hVSMC-1303,13
hVSMC-0163,hVSMC-1100,12
hVSMC-0163,hVSMC-0970,16
hVSMC-0163,hVSMC-0946,15
hVSMC-0163,hVSMC-0773,13
hVSMC-0163,hVSMC-0725,12
hVSMC-0163,hVSMC-0668,3
hVSMC-0163,hVSMC-0400,3
hVSMC-0163,hVSMC-0383,6
hVSMC-0163,hVSMC-0372,2
hVSMC-0163,hVSMC-0328,6
hVSMC-0163,hVSMC-0327,7
hVSMC-0163,hVSMC-0312,7
hVSMC-0163,hVSMC-0296,3
hVSMC-0163,hVSMC-0272,6
hVSMC-0163,hVSMC-0249,8
hVSMC-0163,hVSMC-0242,7
hVSMC-0163,hVSMC-0238,6
hVSMC-0163,hVSMC-0204,2
hVSMC-0163,hVSMC-0203,3
hVSMC-0163,hVSMC-0202,6
hVSMC-0163,hVSMC-0201,7
hVSMC-0163,hVSMC-0199,7
hVSMC-0163,hVSMC-0191,7
hVSMC-0163,hVSMC-0182,2
hVSMC-0163,hVSMC-0176,2
hVSMC-0160,hVSMC-1995,14
hVSMC-0160,hVSMC-1303,12
hVSMC-0160,hVSMC-1100,13
hVSMC-0160,hVSMC-0970,14
hVSMC-0160,hVSMC-0946,14
hVSMC-0160,hVSMC-0773,12
hVSMC-0160,hVSMC-0725,11
hVSMC-0160,hVSMC-0668,3
hVSMC-0160,hVSMC-0400,3
hVSMC-0160,hVSMC-0383,7
hVSMC-0160,hVSMC-0372,2
hVSMC-0160,hVSMC-0328,7
hVSMC-0160,hVSMC-0327,7
hVSMC-0160,hVSMC-0312,7
hVSMC-0160,hVSMC-0296,3
hVSMC-0160,hVSMC-0272,7
hVSMC-0160,hVSMC-0249,8
hVSMC-0160,hVSMC-0242,7
hVSMC-0160,hVSMC-0238,7
hVSMC-0160,hVSMC-0204,2
hVSMC-0160,hVSMC-0203,4
hVSMC-0160,hVSMC-0202,6
hVSMC-0160,hVSMC-0201,6
hVSMC-0160,hVSMC-0199,8
hVSMC-0160,hVSMC-0191,8
hVSMC-0160,hVSMC-0182,2
hVSMC-0160,hVSMC-0176,2
hVSMC-0160,hVSMC-0163,2
hVSMC-0156,hVSMC-1995,15
hVSMC-0156,hVSMC-1303,13
hVSMC-0156,hVSMC-1100,13
hVSMC-0156,hVSMC-0970,15
hVSMC-0156,hVSMC-0946,15
hVSMC-0156,hVSMC-0773,13
hVSMC-0156,hVSMC-0725,13
hVSMC-0156,hVSMC-0668,3
hVSMC-0156,hVSMC-0400,3
hVSMC-0156,hVSMC-0383,7
hVSMC-0156,hVSMC-0372,2
