"editDistance","interaction","name","selected","shared interaction","shared name","treeDistance"
"4","edit distance","hVSMC-0249 to hVSMC-0252","false","edit distance","hVSMC-0249 to hVSMC-0252","20"
"4","edit distance","hVSMC-0249 to hVSMC-0251","false","edit distance","hVSMC-0249 to hVSMC-0251","30"
"7","edit distance","hVSMC-0249 to hVSMC-0250","false","edit distance","hVSMC-0249 to hVSMC-0250","12"
"8","edit distance","hVSMC-0242 to hVSMC-0400","false","edit distance","hVSMC-0242 to hVSMC-0400","38"
"7","edit distance","hVSMC-0242 to hVSMC-0372","false","edit distance","hVSMC-0242 to hVSMC-0372","14"
"3","edit distance","hVSMC-0242 to hVSMC-0340","false","edit distance","hVSMC-0242 to hVSMC-0340","14"
"7","edit distance","hVSMC-0242 to hVSMC-0332","false","edit distance","hVSMC-0242 to hVSMC-0332","28"
"2","edit distance","hVSMC-0242 to hVSMC-0328","false","edit distance","hVSMC-0242 to hVSMC-0328","14"
"2","edit distance","hVSMC-0242 to hVSMC-0327","false","edit distance","hVSMC-0242 to hVSMC-0327","0"
"2","edit distance","hVSMC-0242 to hVSMC-0317","false","edit distance","hVSMC-0242 to hVSMC-0317","12"
"2","edit distance","hVSMC-0242 to hVSMC-0312","false","edit distance","hVSMC-0242 to hVSMC-0312","12"
"7","edit distance","hVSMC-0242 to hVSMC-0296","false","edit distance","hVSMC-0242 to hVSMC-0296","26"
"3","edit distance","hVSMC-0242 to hVSMC-0295","false","edit distance","hVSMC-0242 to hVSMC-0295","14"
"7","edit distance","hVSMC-0242 to hVSMC-0294","false","edit distance","hVSMC-0242 to hVSMC-0294","16"
"2","edit distance","hVSMC-0242 to hVSMC-0292","false","edit distance","hVSMC-0242 to hVSMC-0292","12"
"6","edit distance","hVSMC-0242 to hVSMC-0282","false","edit distance","hVSMC-0242 to hVSMC-0282","12"
"8","edit distance","hVSMC-0242 to hVSMC-0275","false","edit distance","hVSMC-0242 to hVSMC-0275","14"
"2","edit distance","hVSMC-0242 to hVSMC-0272","false","edit distance","hVSMC-0242 to hVSMC-0272","36"
"2","edit distance","hVSMC-0242 to hVSMC-0270","false","edit distance","hVSMC-0242 to hVSMC-0270","8"
